Time Stamp,Capitl,Centrl,Dunwod,Genese,Hud Vl,Longil,Mhk Vl,Millwd,N.Y.C.,North,West,NYISO
1/1/2018 0:00,1511,1808,722,1019,1166,2459,875,356,5670,621,1720,17927
1/1/2018 1:00,1468,1746,697,978,1125,2346,843,340,5540,617,1669,17369
1/1/2018 2:00,1437,1701,678,949,1094,2256,823,333,5391,615,1630,16907
1/1/2018 3:00,1431,1696,664,940,1080,2204,821,324,5268,616,1616,16660
1/1/2018 4:00,1441,1721,661,953,1084,2192,833,322,5220,620,1620,16667
1/1/2018 5:00,1469,1756,676,978,1102,2208,846,330,5259,632,1643,16899
1/1/2018 6:00,1516,1815,691,1014,1122,2238,882,345,5343,644,1692,17302
1/1/2018 7:00,1539,1871,694,1049,1135,2231,908,358,5383,654,1726,17548
1/1/2018 8:00,1568,1923,706,1077,1155,2242,943,367,5473,667,1740,17861
1/1/2018 9:00,1647,1981,730,1126,1192,2314,1025,385,5668,681,1810,18559
1/1/2018 10:00,1655,2011,754,1148,1206,2367,1048,391,5837,686,1837,18940
1/1/2018 11:00,1657,2023,764,1160,1219,2402,1045,394,5959,685,1841,19149
1/1/2018 12:00,1650,2011,770,1157,1221,2440,1034,394,6043,680,1828,19228
1/1/2018 13:00,1640,1982,774,1145,1228,2470,1019,391,6090,670,1811,19220
1/1/2018 14:00,1646,1950,782,1129,1232,2511,1005,393,6126,662,1810,19246
1/1/2018 15:00,1672,1965,788,1132,1250,2593,1013,396,6159,663,1821,19452
1/1/2018 16:00,1756,2071,816,1193,1318,2776,1057,416,6271,672,1876,20222
1/1/2018 17:00,1871,2257,885,1317,1433,3082,1120,460,6539,692,2010,21666
1/1/2018 18:00,1880,2279,895,1327,1451,3123,1108,478,6606,697,2057,21901
1/1/2018 19:00,1861,2243,886,1307,1433,3074,1094,475,6589,693,2044,21699
1/1/2018 20:00,1812,2167,869,1267,1401,2993,1069,464,6520,683,2019,21264
1/1/2018 21:00,1735,2064,839,1213,1341,2861,1014,441,6383,670,1970,20531
